FONTES,Forca motriz,Calor de processo,Aquecimento direto,Refrigeracao,Iluminacao,Eletroquimica,Outras
Gas natural,0,0.496,0.504,0,0,0,0
Carvao mineral,0,0.92,0.08,0,0,0,0
Carvao metalurgico,0,0,1,0,0,0,0
Lenha,0,0.501,0.499,0,0,0,0
Bagaco de cana,0,1,0,0,0,0,0
Oleo diesel,0.52,0.303,0.177,0,0,0,0
Biodiesel,0.52,0.303,0.177,0,0,0,0
Oleo combustivel,0,0.496,0.504,0,0,0,0
Gasolina,1,0,0,0,0,0,0
GLP,0.146,0.219,0.634,0,0,0,0
Querosene,0,0.176,0.824,0,0,0,0
Gas,0,0.582,0.418,0,0,0,0
Coque de carvao mineral,0,0.08,0.92,0,0,0,0
Eletricidade,0.603,0.015,0.194,0.092,0.075,0,0.021
Carvao vegetal,0,0,1,0,0,0,0
Outras fontes secundarias,0,0.427,0.573,0,0,0,0
