FONTES,Forca motriz,Calor de processo,Aquecimento direto,Refrigeracao,Iluminacao,Eletroquimica,Outras,Total
Gas natural,0.000,0.000,1.000,0.000,0.000,0.000,0.000,1
Carvao mineral,0.000,0.000,1.000,0.000,0.000,0.000,0.000,1
Carvao metalurgico,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0
Lenha,0.000,0.000,1.000,0.000,0.000,0.000,0.000,1
Produtos da cana,0.000,1.000,0.000,0.000,0.000,0.000,0.000,1
Outras fontes,0.000,0.000,1.000,0.000,0.000,0.000,0.000,1
Oleo diesel,0.920,0.000,0.080,0.000,0.000,0.000,0.000,1
Oleo combustivel,0.000,0.000,1.000,0.000,0.000,0.000,0.000,1
Gasolina,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0
GLP,1.000,0.000,0.000,0.000,0.000,0.000,0.000,1
Querosene,0.000,0.000,1.000,0.000,0.000,0.000,0.000,1
Gas,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0
Coque de carvao mineral,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0
Eletricidade,0.029,0.000,0.965,0.002,0.004,0.000,0.000,1
Carvao vegetal,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0
Alcool etilico,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0
Outras fontes secundarias,0.000,0.000,1.000,0.000,0.000,0.000,0.000,1
Alcatrao,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0
